"[T]", "'<p>'", "(p0 / |KaiC()|)", "(p1 / |KaiC()|)", "(p2 / |KaiC()|)", "(p3 / |KaiC()|)", "(p4 / |KaiC()|)", "(p5 / |KaiC()|)", "(p6 / |KaiC()|)"
0., 0., 1., 0., 0., 0., 0., 0., 0.
0.1, 0.100409836066, 0.522540983607, 0.360655737705, 0.110655737705, 0.00409836065574, 0.00204918032787, 0., 0.
0.2, 0.185792349727, 0.297131147541, 0.389344262295, 0.225409836066, 0.0799180327869, 0.00614754098361, 0.00204918032787, 0.
0.3, 0.261270491803, 0.155737704918, 0.342213114754, 0.31762295082, 0.151639344262, 0.0286885245902, 0.00409836065574, 0.
0.4, 0.334357923497, 0.0881147540984, 0.266393442623, 0.321721311475, 0.21106557377, 0.100409836066, 0.0122950819672, 0.
0.5, 0.391734972678, 0.0573770491803, 0.18237704918, 0.30737704918, 0.28893442623, 0.133196721311, 0.030737704918, 0.
0.6, 0.439549180328, 0.0368852459016, 0.131147540984, 0.282786885246, 0.315573770492, 0.178278688525, 0.0512295081967, 0.00409836065574
0.7, 0.489412568306, 0.0245901639344, 0.0901639344262, 0.266393442623, 0.293032786885, 0.21106557377, 0.0983606557377, 0.016393442623
0.8, 0.536543715847, 0.0143442622951, 0.0737704918033, 0.200819672131, 0.282786885246, 0.268442622951, 0.137295081967, 0.0225409836066
0.9, 0.572404371585, 0.00819672131148, 0.047131147541, 0.159836065574, 0.293032786885, 0.301229508197, 0.159836065574, 0.030737704918
1., 0.612021857923, 0.00409836065574, 0.0266393442623, 0.131147540984, 0.276639344262, 0.301229508197, 0.213114754098, 0.047131147541
1.1, 0.647199453552, 0.00409836065574, 0.0184426229508, 0.104508196721, 0.237704918033, 0.305327868852, 0.258196721311, 0.0717213114754
1.2, 0.681010928962, 0.00204918032787, 0.0102459016393, 0.077868852459, 0.198770491803, 0.319672131148, 0.303278688525, 0.0881147540984
1.3, 0.709016393443, 0., 0.00819672131148, 0.0553278688525, 0.188524590164, 0.286885245902, 0.344262295082, 0.116803278689
1.4, 0.734631147541, 0., 0.00614754098361, 0.0389344262295, 0.147540983607, 0.290983606557, 0.381147540984, 0.135245901639
1.5, 0.757513661202, 0., 0.00204918032787, 0.0348360655738, 0.0983606557377, 0.301229508197, 0.407786885246, 0.155737704918
1.6, 0.773224043716, 0., 0.00204918032787, 0.0204918032787, 0.094262295082, 0.264344262295, 0.456967213115, 0.161885245902
1.7, 0.793032786885, 0., 0.00204918032787, 0.00819672131148, 0.0799180327869, 0.243852459016, 0.47131147541, 0.194672131148
1.8, 0.80293715847, 0., 0., 0.0102459016393, 0.0655737704918, 0.227459016393, 0.489754098361, 0.206967213115
1.9, 0.813183060109, 0., 0., 0.0102459016393, 0.0512295081967, 0.219262295082, 0.487704918033, 0.231557377049
2., 0.824795081967, 0., 0., 0.00614754098361, 0.0532786885246, 0.184426229508, 0.497950819672, 0.258196721311
2.1, 0.835382513661, 0., 0., 0.00614754098361, 0.0348360655738, 0.186475409836, 0.485655737705, 0.286885245902
2.2, 0.840163934426, 0., 0., 0.00614754098361, 0.0266393442623, 0.188524590164, 0.477459016393, 0.301229508197
2.3, 0.844262295082, 0., 0., 0.00614754098361, 0.0266393442623, 0.176229508197, 0.477459016393, 0.313524590164
2.4, 0.845628415301, 0., 0., 0.00204918032787, 0.0286885245902, 0.178278688525, 0.475409836066, 0.315573770492
2.5, 0.850068306011, 0., 0., 0.00204918032787, 0.0266393442623, 0.168032786885, 0.475409836066, 0.327868852459
2.6, 0.855191256831, 0., 0., 0.00204918032787, 0.0348360655738, 0.147540983607, 0.46106557377, 0.354508196721
2.7, 0.853483606557, 0., 0., 0.00204918032787, 0.0368852459016, 0.147540983607, 0.465163934426, 0.348360655738
2.8, 0.846994535519, 0., 0., 0.00409836065574, 0.0409836065574, 0.147540983607, 0.483606557377, 0.323770491803
2.9, 0.842554644809, 0., 0., 0.00819672131148, 0.0409836065574, 0.174180327869, 0.440573770492, 0.33606557377
3., 0.839822404372, 0., 0., 0.00819672131148, 0.0450819672131, 0.178278688525, 0.436475409836, 0.331967213115
3.1, 0.834699453552, 0., 0., 0.00819672131148, 0.0573770491803, 0.178278688525, 0.430327868852, 0.325819672131
3.2, 0.826844262295, 0., 0., 0.0122950819672, 0.0594262295082, 0.19262295082, 0.426229508197, 0.309426229508
3.3, 0.823087431694, 0., 0., 0.0143442622951, 0.0614754098361, 0.188524590164, 0.44262295082, 0.293032786885
3.4, 0.813524590164, 0., 0., 0.016393442623, 0.0696721311475, 0.206967213115, 0.430327868852, 0.276639344262
3.5, 0.806010928962, 0., 0., 0.0184426229508, 0.0799180327869, 0.213114754098, 0.424180327869, 0.264344262295
3.6, 0.794398907104, 0., 0., 0.0204918032787, 0.0881147540984, 0.233606557377, 0.420081967213, 0.237704918033
3.7, 0.782103825137, 0., 0.00614754098361, 0.016393442623, 0.100409836066, 0.239754098361, 0.430327868852, 0.206967213115
3.8, 0.771174863388, 0., 0.00614754098361, 0.0204918032787, 0.112704918033, 0.247950819672, 0.426229508197, 0.186475409836
3.9, 0.756830601093, 0., 0.00819672131148, 0.0286885245902, 0.120901639344, 0.262295081967, 0.415983606557, 0.16393442623
4., 0.746926229508, 0., 0.00819672131148, 0.0327868852459, 0.135245901639, 0.272540983607, 0.395491803279, 0.155737704918
4.1, 0.74043715847, 0., 0.00614754098361, 0.0389344262295, 0.145491803279, 0.276639344262, 0.381147540984, 0.151639344262
4.2, 0.728825136612, 0., 0.00614754098361, 0.0389344262295, 0.159836065574, 0.303278688525, 0.354508196721, 0.137295081967
4.3, 0.719603825137, 0., 0.00819672131148, 0.0409836065574, 0.161885245902, 0.325819672131, 0.340163934426, 0.122950819672
4.4, 0.709016393443, 0., 0.00819672131148, 0.047131147541, 0.161885245902, 0.358606557377, 0.313524590164, 0.110655737705
4.5, 0.697404371585, 0., 0.0122950819672, 0.0491803278689, 0.188524590164, 0.350409836066, 0.290983606557, 0.108606557377
